Query,Result
1,"[http://db.uwaterloo.ca/~galuc/wsdbm/Offer2552, http://db.uwaterloo.ca/~galuc/wsdbm/Offer8592, http://db.uwaterloo.ca/~galuc/wsdbm/Offer1429]"
2,"[http://db.uwaterloo.ca/~galuc/wsdbm/Offer13362, http://db.uwaterloo.ca/~galuc/wsdbm/Offer11968, http://db.uwaterloo.ca/~galuc/wsdbm/Offer15440]"
3,"[http://db.uwaterloo.ca/~galuc/wsdbm/Offer1283, http://db.uwaterloo.ca/~galuc/wsdbm/Offer12493, http://db.uwaterloo.ca/~galuc/wsdbm/Offer14367, http://db.uwaterloo.ca/~galuc/wsdbm/Offer13501]"
4,"[http://db.uwaterloo.ca/~galuc/wsdbm/Offer6542, http://db.uwaterloo.ca/~galuc/wsdbm/Offer5543, http://db.uwaterloo.ca/~galuc/wsdbm/Offer15373]"
5,"[http://db.uwaterloo.ca/~galuc/wsdbm/Offer8211, http://db.uwaterloo.ca/~galuc/wsdbm/Offer4299, http://db.uwaterloo.ca/~galuc/wsdbm/Offer10283, http://db.uwaterloo.ca/~galuc/wsdbm/Offer14406, http://db.uwaterloo.ca/~galuc/wsdbm/Offer9277]"
6,[http://db.uwaterloo.ca/~galuc/wsdbm/Offer2027]
7,"[http://db.uwaterloo.ca/~galuc/wsdbm/Offer17088, http://db.uwaterloo.ca/~galuc/wsdbm/Offer8751, http://db.uwaterloo.ca/~galuc/wsdbm/Offer17910, http://db.uwaterloo.ca/~galuc/wsdbm/Offer608, http://db.uwaterloo.ca/~galuc/wsdbm/Offer370, http://db.uwaterloo.ca/~galuc/wsdbm/Offer14417]"
8,"[http://db.uwaterloo.ca/~galuc/wsdbm/Offer6434, http://db.uwaterloo.ca/~galuc/wsdbm/Offer7860, http://db.uwaterloo.ca/~galuc/wsdbm/Offer15480, http://db.uwaterloo.ca/~galuc/wsdbm/Offer11711]"
9,"[http://db.uwaterloo.ca/~galuc/wsdbm/Offer6539, http://db.uwaterloo.ca/~galuc/wsdbm/Offer13061, http://db.uwaterloo.ca/~galuc/wsdbm/Offer14675, http://db.uwaterloo.ca/~galuc/wsdbm/Offer17403, http://db.uwaterloo.ca/~galuc/wsdbm/Offer13177, http://db.uwaterloo.ca/~galuc/wsdbm/Offer498]"
10,"[http://db.uwaterloo.ca/~galuc/wsdbm/Offer9127, http://db.uwaterloo.ca/~galuc/wsdbm/Offer6429, http://db.uwaterloo.ca/~galuc/wsdbm/Offer9479, http://db.uwaterloo.ca/~galuc/wsdbm/Offer7120, http://db.uwaterloo.ca/~galuc/wsdbm/Offer245]"
11,"[http://db.uwaterloo.ca/~galuc/wsdbm/Offer16294, http://db.uwaterloo.ca/~galuc/wsdbm/Offer12689, http://db.uwaterloo.ca/~galuc/wsdbm/Offer15987]"
12,"[http://db.uwaterloo.ca/~galuc/wsdbm/Offer16897, http://db.uwaterloo.ca/~galuc/wsdbm/Offer15281, http://db.uwaterloo.ca/~galuc/wsdbm/Offer3562, http://db.uwaterloo.ca/~galuc/wsdbm/Offer708]"
13,"[http://db.uwaterloo.ca/~galuc/wsdbm/Offer639, http://db.uwaterloo.ca/~galuc/wsdbm/Offer12108]"
14,[http://db.uwaterloo.ca/~galuc/wsdbm/Offer4764]
15,"[http://db.uwaterloo.ca/~galuc/wsdbm/Offer15583, http://db.uwaterloo.ca/~galuc/wsdbm/Offer947, http://db.uwaterloo.ca/~galuc/wsdbm/Offer7112]"
16,"[http://db.uwaterloo.ca/~galuc/wsdbm/Offer16890, http://db.uwaterloo.ca/~galuc/wsdbm/Offer9022, http://db.uwaterloo.ca/~galuc/wsdbm/Offer14326, http://db.uwaterloo.ca/~galuc/wsdbm/Offer16877]"
17,"[http://db.uwaterloo.ca/~galuc/wsdbm/Offer5750, http://db.uwaterloo.ca/~galuc/wsdbm/Offer7192, http://db.uwaterloo.ca/~galuc/wsdbm/Offer5316, http://db.uwaterloo.ca/~galuc/wsdbm/Offer15463, http://db.uwaterloo.ca/~galuc/wsdbm/Offer8507]"
18,"[http://db.uwaterloo.ca/~galuc/wsdbm/Offer13297, http://db.uwaterloo.ca/~galuc/wsdbm/Offer14668, http://db.uwaterloo.ca/~galuc/wsdbm/Offer4309, http://db.uwaterloo.ca/~galuc/wsdbm/Offer15230, http://db.uwaterloo.ca/~galuc/wsdbm/Offer15845, http://db.uwaterloo.ca/~galuc/wsdbm/Offer2799]"
19,[http://db.uwaterloo.ca/~galuc/wsdbm/Offer8528]
20,"[http://db.uwaterloo.ca/~galuc/wsdbm/Offer16890, http://db.uwaterloo.ca/~galuc/wsdbm/Offer9022, http://db.uwaterloo.ca/~galuc/wsdbm/Offer14326, http://db.uwaterloo.ca/~galuc/wsdbm/Offer16877]"
21,"[http://db.uwaterloo.ca/~galuc/wsdbm/Offer16168, http://db.uwaterloo.ca/~galuc/wsdbm/Offer11782, http://db.uwaterloo.ca/~galuc/wsdbm/Offer3869]"
