Query,Result
1,"[http://db.uwaterloo.ca/~galuc/wsdbm/User16407, http://db.uwaterloo.ca/~galuc/wsdbm/User4450]"
2,"[http://db.uwaterloo.ca/~galuc/wsdbm/User14676, http://db.uwaterloo.ca/~galuc/wsdbm/User1366, http://db.uwaterloo.ca/~galuc/wsdbm/User6652]"
3,"[http://db.uwaterloo.ca/~galuc/wsdbm/User19784, http://db.uwaterloo.ca/~galuc/wsdbm/User2178]"
4,"[http://db.uwaterloo.ca/~galuc/wsdbm/User18851, http://db.uwaterloo.ca/~galuc/wsdbm/User12033, http://db.uwaterloo.ca/~galuc/wsdbm/User2351, http://db.uwaterloo.ca/~galuc/wsdbm/User12141, http://db.uwaterloo.ca/~galuc/wsdbm/User1114, http://db.uwaterloo.ca/~galuc/wsdbm/User2280]"
5,"[http://db.uwaterloo.ca/~galuc/wsdbm/User14505, http://db.uwaterloo.ca/~galuc/wsdbm/User12902]"
6,"[http://db.uwaterloo.ca/~galuc/wsdbm/User5480, http://db.uwaterloo.ca/~galuc/wsdbm/User1969]"
7,"[http://db.uwaterloo.ca/~galuc/wsdbm/User4959, http://db.uwaterloo.ca/~galuc/wsdbm/User8736, http://db.uwaterloo.ca/~galuc/wsdbm/User14708]"
8,"[http://db.uwaterloo.ca/~galuc/wsdbm/User10670, http://db.uwaterloo.ca/~galuc/wsdbm/User4426]"
9,[http://db.uwaterloo.ca/~galuc/wsdbm/User5595]
10,"[http://db.uwaterloo.ca/~galuc/wsdbm/User6630, http://db.uwaterloo.ca/~galuc/wsdbm/User6420, http://db.uwaterloo.ca/~galuc/wsdbm/User1186, http://db.uwaterloo.ca/~galuc/wsdbm/User6601]"
11,"[http://db.uwaterloo.ca/~galuc/wsdbm/User460, http://db.uwaterloo.ca/~galuc/wsdbm/User15637, http://db.uwaterloo.ca/~galuc/wsdbm/User16625]"
12,"[http://db.uwaterloo.ca/~galuc/wsdbm/User9292, http://db.uwaterloo.ca/~galuc/wsdbm/User5995, http://db.uwaterloo.ca/~galuc/wsdbm/User4882, http://db.uwaterloo.ca/~galuc/wsdbm/User8559, http://db.uwaterloo.ca/~galuc/wsdbm/User6964]"
13,"[http://db.uwaterloo.ca/~galuc/wsdbm/User8828, http://db.uwaterloo.ca/~galuc/wsdbm/User1808, http://db.uwaterloo.ca/~galuc/wsdbm/User13777]"
14,"[http://db.uwaterloo.ca/~galuc/wsdbm/User12830, http://db.uwaterloo.ca/~galuc/wsdbm/User5254, http://db.uwaterloo.ca/~galuc/wsdbm/User3318]"
15,[]
16,"[http://db.uwaterloo.ca/~galuc/wsdbm/User13219, http://db.uwaterloo.ca/~galuc/wsdbm/User14474, http://db.uwaterloo.ca/~galuc/wsdbm/User12926, http://db.uwaterloo.ca/~galuc/wsdbm/User9693, http://db.uwaterloo.ca/~galuc/wsdbm/User15221]"
17,"[http://db.uwaterloo.ca/~galuc/wsdbm/User8072, http://db.uwaterloo.ca/~galuc/wsdbm/User17990, http://db.uwaterloo.ca/~galuc/wsdbm/User18333]"
18,"[http://db.uwaterloo.ca/~galuc/wsdbm/User3639, http://db.uwaterloo.ca/~galuc/wsdbm/User8951, http://db.uwaterloo.ca/~galuc/wsdbm/User14934]"
19,"[http://db.uwaterloo.ca/~galuc/wsdbm/User1440, http://db.uwaterloo.ca/~galuc/wsdbm/User13115, http://db.uwaterloo.ca/~galuc/wsdbm/User9236, http://db.uwaterloo.ca/~galuc/wsdbm/User10575]"
20,"[http://db.uwaterloo.ca/~galuc/wsdbm/User13219, http://db.uwaterloo.ca/~galuc/wsdbm/User14474, http://db.uwaterloo.ca/~galuc/wsdbm/User12926, http://db.uwaterloo.ca/~galuc/wsdbm/User9693, http://db.uwaterloo.ca/~galuc/wsdbm/User15221]"
21,"[http://db.uwaterloo.ca/~galuc/wsdbm/User3384, http://db.uwaterloo.ca/~galuc/wsdbm/User10363, http://db.uwaterloo.ca/~galuc/wsdbm/User4648, http://db.uwaterloo.ca/~galuc/wsdbm/User17577, http://db.uwaterloo.ca/~galuc/wsdbm/User5152, http://db.uwaterloo.ca/~galuc/wsdbm/User18255, http://db.uwaterloo.ca/~galuc/wsdbm/User3004]"
22,"[http://db.uwaterloo.ca/~galuc/wsdbm/User4459, http://db.uwaterloo.ca/~galuc/wsdbm/User5580, http://db.uwaterloo.ca/~galuc/wsdbm/User14019, http://db.uwaterloo.ca/~galuc/wsdbm/User19381, http://db.uwaterloo.ca/~galuc/wsdbm/User17990, http://db.uwaterloo.ca/~galuc/wsdbm/User13866]"
23,[http://db.uwaterloo.ca/~galuc/wsdbm/User4256]
24,[http://db.uwaterloo.ca/~galuc/wsdbm/User695]
25,"[http://db.uwaterloo.ca/~galuc/wsdbm/User17912, http://db.uwaterloo.ca/~galuc/wsdbm/User13689]"
26,"[http://db.uwaterloo.ca/~galuc/wsdbm/User2766, http://db.uwaterloo.ca/~galuc/wsdbm/User7156, http://db.uwaterloo.ca/~galuc/wsdbm/User1685]"
27,"[http://db.uwaterloo.ca/~galuc/wsdbm/User14351, http://db.uwaterloo.ca/~galuc/wsdbm/User19445, http://db.uwaterloo.ca/~galuc/wsdbm/User8493]"
28,"[http://db.uwaterloo.ca/~galuc/wsdbm/User11596, http://db.uwaterloo.ca/~galuc/wsdbm/User5855, http://db.uwaterloo.ca/~galuc/wsdbm/User2134, http://db.uwaterloo.ca/~galuc/wsdbm/User18310, http://db.uwaterloo.ca/~galuc/wsdbm/User456, http://db.uwaterloo.ca/~galuc/wsdbm/User5448, http://db.uwaterloo.ca/~galuc/wsdbm/User11680]"
29,"[http://db.uwaterloo.ca/~galuc/wsdbm/User13931, http://db.uwaterloo.ca/~galuc/wsdbm/User16603, http://db.uwaterloo.ca/~galuc/wsdbm/User16295]"
30,"[http://db.uwaterloo.ca/~galuc/wsdbm/User15712, http://db.uwaterloo.ca/~galuc/wsdbm/User1481, http://db.uwaterloo.ca/~galuc/wsdbm/User13994, http://db.uwaterloo.ca/~galuc/wsdbm/User13423, http://db.uwaterloo.ca/~galuc/wsdbm/User17132, http://db.uwaterloo.ca/~galuc/wsdbm/User7370]"
31,"[http://db.uwaterloo.ca/~galuc/wsdbm/User6504, http://db.uwaterloo.ca/~galuc/wsdbm/User18624]"
32,"[http://db.uwaterloo.ca/~galuc/wsdbm/User12565, http://db.uwaterloo.ca/~galuc/wsdbm/User14778, http://db.uwaterloo.ca/~galuc/wsdbm/User7827, http://db.uwaterloo.ca/~galuc/wsdbm/User10721, http://db.uwaterloo.ca/~galuc/wsdbm/User5386, http://db.uwaterloo.ca/~galuc/wsdbm/User2553, http://db.uwaterloo.ca/~galuc/wsdbm/User19166, http://db.uwaterloo.ca/~galuc/wsdbm/User7239, http://db.uwaterloo.ca/~galuc/wsdbm/User19100, http://db.uwaterloo.ca/~galuc/wsdbm/User16895, http://db.uwaterloo.ca/~galuc/wsdbm/User7462, http://db.uwaterloo.ca/~galuc/wsdbm/User2864]"
33,"[http://db.uwaterloo.ca/~galuc/wsdbm/User17893, http://db.uwaterloo.ca/~galuc/wsdbm/User12080]"
34,"[http://db.uwaterloo.ca/~galuc/wsdbm/User16344, http://db.uwaterloo.ca/~galuc/wsdbm/User6500, http://db.uwaterloo.ca/~galuc/wsdbm/User9750, http://db.uwaterloo.ca/~galuc/wsdbm/User18927, http://db.uwaterloo.ca/~galuc/wsdbm/User6659, http://db.uwaterloo.ca/~galuc/wsdbm/User11448, http://db.uwaterloo.ca/~galuc/wsdbm/User11800, http://db.uwaterloo.ca/~galuc/wsdbm/User12715]"
