Query,Result
1,[http://db.uwaterloo.ca/~galuc/wsdbm/User11672]
2,"[http://db.uwaterloo.ca/~galuc/wsdbm/User18349, http://db.uwaterloo.ca/~galuc/wsdbm/User454]"
3,"[http://db.uwaterloo.ca/~galuc/wsdbm/User14872, http://db.uwaterloo.ca/~galuc/wsdbm/User19910, http://db.uwaterloo.ca/~galuc/wsdbm/User6322]"
4,"[http://db.uwaterloo.ca/~galuc/wsdbm/User14402, http://db.uwaterloo.ca/~galuc/wsdbm/User5408, http://db.uwaterloo.ca/~galuc/wsdbm/User780, http://db.uwaterloo.ca/~galuc/wsdbm/User2097, http://db.uwaterloo.ca/~galuc/wsdbm/User16892, http://db.uwaterloo.ca/~galuc/wsdbm/User10789, http://db.uwaterloo.ca/~galuc/wsdbm/User4907, http://db.uwaterloo.ca/~galuc/wsdbm/User8547, http://db.uwaterloo.ca/~galuc/wsdbm/User3593, http://db.uwaterloo.ca/~galuc/wsdbm/User4298, http://db.uwaterloo.ca/~galuc/wsdbm/User13829]"
5,"[http://db.uwaterloo.ca/~galuc/wsdbm/User9315, http://db.uwaterloo.ca/~galuc/wsdbm/User5018, http://db.uwaterloo.ca/~galuc/wsdbm/User5095, http://db.uwaterloo.ca/~galuc/wsdbm/User11589, http://db.uwaterloo.ca/~galuc/wsdbm/User1968]"
6,"[http://db.uwaterloo.ca/~galuc/wsdbm/User4593, http://db.uwaterloo.ca/~galuc/wsdbm/User2372, http://db.uwaterloo.ca/~galuc/wsdbm/User17990, http://db.uwaterloo.ca/~galuc/wsdbm/User13217, http://db.uwaterloo.ca/~galuc/wsdbm/User5888, http://db.uwaterloo.ca/~galuc/wsdbm/User11335]"
7,"[http://db.uwaterloo.ca/~galuc/wsdbm/User3585, http://db.uwaterloo.ca/~galuc/wsdbm/User18694, http://db.uwaterloo.ca/~galuc/wsdbm/User11190]"
8,"[http://db.uwaterloo.ca/~galuc/wsdbm/User15462, http://db.uwaterloo.ca/~galuc/wsdbm/User4266, http://db.uwaterloo.ca/~galuc/wsdbm/User17374]"
9,"[http://db.uwaterloo.ca/~galuc/wsdbm/User9950, http://db.uwaterloo.ca/~galuc/wsdbm/User13085, http://db.uwaterloo.ca/~galuc/wsdbm/User7123, http://db.uwaterloo.ca/~galuc/wsdbm/User9171, http://db.uwaterloo.ca/~galuc/wsdbm/User7089, http://db.uwaterloo.ca/~galuc/wsdbm/User17832, http://db.uwaterloo.ca/~galuc/wsdbm/User12333, http://db.uwaterloo.ca/~galuc/wsdbm/User11773, http://db.uwaterloo.ca/~galuc/wsdbm/User12890, http://db.uwaterloo.ca/~galuc/wsdbm/User3175, http://db.uwaterloo.ca/~galuc/wsdbm/User8086, http://db.uwaterloo.ca/~galuc/wsdbm/User5319, http://db.uwaterloo.ca/~galuc/wsdbm/User14961, http://db.uwaterloo.ca/~galuc/wsdbm/User4696]"
10,"[http://db.uwaterloo.ca/~galuc/wsdbm/User19170, http://db.uwaterloo.ca/~galuc/wsdbm/User14013, http://db.uwaterloo.ca/~galuc/wsdbm/User14052]"
