Query,Result
1,"[http://db.uwaterloo.ca/~galuc/wsdbm/User9052, http://db.uwaterloo.ca/~galuc/wsdbm/User5160, http://db.uwaterloo.ca/~galuc/wsdbm/User9706, http://db.uwaterloo.ca/~galuc/wsdbm/User9987, http://db.uwaterloo.ca/~galuc/wsdbm/User10181, http://db.uwaterloo.ca/~galuc/wsdbm/User5166, http://db.uwaterloo.ca/~galuc/wsdbm/User18315, http://db.uwaterloo.ca/~galuc/wsdbm/User3857, http://db.uwaterloo.ca/~galuc/wsdbm/User11917, http://db.uwaterloo.ca/~galuc/wsdbm/User11750, http://db.uwaterloo.ca/~galuc/wsdbm/User15815, http://db.uwaterloo.ca/~galuc/wsdbm/User8097, http://db.uwaterloo.ca/~galuc/wsdbm/User3350, http://db.uwaterloo.ca/~galuc/wsdbm/User10799, http://db.uwaterloo.ca/~galuc/wsdbm/User8291, http://db.uwaterloo.ca/~galuc/wsdbm/User9333, http://db.uwaterloo.ca/~galuc/wsdbm/User7731, http://db.uwaterloo.ca/~galuc/wsdbm/User15678, http://db.uwaterloo.ca/~galuc/wsdbm/User14034, http://db.uwaterloo.ca/~galuc/wsdbm/User16966, http://db.uwaterloo.ca/~galuc/wsdbm/User16077, http://db.uwaterloo.ca/~galuc/wsdbm/User1554, http://db.uwaterloo.ca/~galuc/wsdbm/User6929, http://db.uwaterloo.ca/~galuc/wsdbm/User9797, http://db.uwaterloo.ca/~galuc/wsdbm/User15803, http://db.uwaterloo.ca/~galuc/wsdbm/User13107, http://db.uwaterloo.ca/~galuc/wsdbm/User16511, http://db.uwaterloo.ca/~galuc/wsdbm/User12285, http://db.uwaterloo.ca/~galuc/wsdbm/User17065, http://db.uwaterloo.ca/~galuc/wsdbm/User494, http://db.uwaterloo.ca/~galuc/wsdbm/User2643, http://db.uwaterloo.ca/~galuc/wsdbm/User3789]"
2,"[http://db.uwaterloo.ca/~galuc/wsdbm/User10961, http://db.uwaterloo.ca/~galuc/wsdbm/User5432, http://db.uwaterloo.ca/~galuc/wsdbm/User4430, http://db.uwaterloo.ca/~galuc/wsdbm/User4318, http://db.uwaterloo.ca/~galuc/wsdbm/User2576, http://db.uwaterloo.ca/~galuc/wsdbm/User15264, http://db.uwaterloo.ca/~galuc/wsdbm/User8477, http://db.uwaterloo.ca/~galuc/wsdbm/User17095, http://db.uwaterloo.ca/~galuc/wsdbm/User170, http://db.uwaterloo.ca/~galuc/wsdbm/User18374, http://db.uwaterloo.ca/~galuc/wsdbm/User8765, http://db.uwaterloo.ca/~galuc/wsdbm/User11148, http://db.uwaterloo.ca/~galuc/wsdbm/User2731, http://db.uwaterloo.ca/~galuc/wsdbm/User12219, http://db.uwaterloo.ca/~galuc/wsdbm/User3419, http://db.uwaterloo.ca/~galuc/wsdbm/User7833, http://db.uwaterloo.ca/~galuc/wsdbm/User991, http://db.uwaterloo.ca/~galuc/wsdbm/User8197, http://db.uwaterloo.ca/~galuc/wsdbm/User19465, http://db.uwaterloo.ca/~galuc/wsdbm/User16010, http://db.uwaterloo.ca/~galuc/wsdbm/User3524, http://db.uwaterloo.ca/~galuc/wsdbm/User16518, http://db.uwaterloo.ca/~galuc/wsdbm/User17869]"
3,"[http://db.uwaterloo.ca/~galuc/wsdbm/User1867, http://db.uwaterloo.ca/~galuc/wsdbm/User16871, http://db.uwaterloo.ca/~galuc/wsdbm/User13917, http://db.uwaterloo.ca/~galuc/wsdbm/User19933, http://db.uwaterloo.ca/~galuc/wsdbm/User3497, http://db.uwaterloo.ca/~galuc/wsdbm/User8790, http://db.uwaterloo.ca/~galuc/wsdbm/User18170, http://db.uwaterloo.ca/~galuc/wsdbm/User18169, http://db.uwaterloo.ca/~galuc/wsdbm/User17471, http://db.uwaterloo.ca/~galuc/wsdbm/User8477, http://db.uwaterloo.ca/~galuc/wsdbm/User18815, http://db.uwaterloo.ca/~galuc/wsdbm/User18613, http://db.uwaterloo.ca/~galuc/wsdbm/User2346, http://db.uwaterloo.ca/~galuc/wsdbm/User7539, http://db.uwaterloo.ca/~galuc/wsdbm/User17484, http://db.uwaterloo.ca/~galuc/wsdbm/User1937, http://db.uwaterloo.ca/~galuc/wsdbm/User18541, http://db.uwaterloo.ca/~galuc/wsdbm/User11301, http://db.uwaterloo.ca/~galuc/wsdbm/User12996, http://db.uwaterloo.ca/~galuc/wsdbm/User9410, http://db.uwaterloo.ca/~galuc/wsdbm/User10620, http://db.uwaterloo.ca/~galuc/wsdbm/User918, http://db.uwaterloo.ca/~galuc/wsdbm/User2948, http://db.uwaterloo.ca/~galuc/wsdbm/User10323, http://db.uwaterloo.ca/~galuc/wsdbm/User19089, http://db.uwaterloo.ca/~galuc/wsdbm/User4849, http://db.uwaterloo.ca/~galuc/wsdbm/User10343, http://db.uwaterloo.ca/~galuc/wsdbm/User213, http://db.uwaterloo.ca/~galuc/wsdbm/User6214, http://db.uwaterloo.ca/~galuc/wsdbm/User9574, http://db.uwaterloo.ca/~galuc/wsdbm/User180, http://db.uwaterloo.ca/~galuc/wsdbm/User18415, http://db.uwaterloo.ca/~galuc/wsdbm/User888, http://db.uwaterloo.ca/~galuc/wsdbm/User832, http://db.uwaterloo.ca/~galuc/wsdbm/User2643, http://db.uwaterloo.ca/~galuc/wsdbm/User4517]"
4,"[http://db.uwaterloo.ca/~galuc/wsdbm/User990, http://db.uwaterloo.ca/~galuc/wsdbm/User10821, http://db.uwaterloo.ca/~galuc/wsdbm/User7406, http://db.uwaterloo.ca/~galuc/wsdbm/User16686, http://db.uwaterloo.ca/~galuc/wsdbm/User9814, http://db.uwaterloo.ca/~galuc/wsdbm/User1553, http://db.uwaterloo.ca/~galuc/wsdbm/User14753, http://db.uwaterloo.ca/~galuc/wsdbm/User7367, http://db.uwaterloo.ca/~galuc/wsdbm/User8790, http://db.uwaterloo.ca/~galuc/wsdbm/User13486, http://db.uwaterloo.ca/~galuc/wsdbm/User8794, http://db.uwaterloo.ca/~galuc/wsdbm/User8505, http://db.uwaterloo.ca/~galuc/wsdbm/User2957, http://db.uwaterloo.ca/~galuc/wsdbm/User15606, http://db.uwaterloo.ca/~galuc/wsdbm/User15498, http://db.uwaterloo.ca/~galuc/wsdbm/User16709, http://db.uwaterloo.ca/~galuc/wsdbm/User826, http://db.uwaterloo.ca/~galuc/wsdbm/User16665, http://db.uwaterloo.ca/~galuc/wsdbm/User16723, http://db.uwaterloo.ca/~galuc/wsdbm/User7477, http://db.uwaterloo.ca/~galuc/wsdbm/User16438, http://db.uwaterloo.ca/~galuc/wsdbm/User5289, http://db.uwaterloo.ca/~galuc/wsdbm/User15179, http://db.uwaterloo.ca/~galuc/wsdbm/User8659, http://db.uwaterloo.ca/~galuc/wsdbm/User17935, http://db.uwaterloo.ca/~galuc/wsdbm/User15272, http://db.uwaterloo.ca/~galuc/wsdbm/User15903, http://db.uwaterloo.ca/~galuc/wsdbm/User9937]"
5,"[http://db.uwaterloo.ca/~galuc/wsdbm/User909, http://db.uwaterloo.ca/~galuc/wsdbm/User507, http://db.uwaterloo.ca/~galuc/wsdbm/User1333, http://db.uwaterloo.ca/~galuc/wsdbm/User11077, http://db.uwaterloo.ca/~galuc/wsdbm/User319, http://db.uwaterloo.ca/~galuc/wsdbm/User13899, http://db.uwaterloo.ca/~galuc/wsdbm/User14703, http://db.uwaterloo.ca/~galuc/wsdbm/User19116, http://db.uwaterloo.ca/~galuc/wsdbm/User722, http://db.uwaterloo.ca/~galuc/wsdbm/User17598, http://db.uwaterloo.ca/~galuc/wsdbm/User10924, http://db.uwaterloo.ca/~galuc/wsdbm/User9448, http://db.uwaterloo.ca/~galuc/wsdbm/User9101, http://db.uwaterloo.ca/~galuc/wsdbm/User16535, http://db.uwaterloo.ca/~galuc/wsdbm/User13270, http://db.uwaterloo.ca/~galuc/wsdbm/User18541, http://db.uwaterloo.ca/~galuc/wsdbm/User9481, http://db.uwaterloo.ca/~galuc/wsdbm/User5782, http://db.uwaterloo.ca/~galuc/wsdbm/User4815, http://db.uwaterloo.ca/~galuc/wsdbm/User6103, http://db.uwaterloo.ca/~galuc/wsdbm/User419, http://db.uwaterloo.ca/~galuc/wsdbm/User14493, http://db.uwaterloo.ca/~galuc/wsdbm/User3725, http://db.uwaterloo.ca/~galuc/wsdbm/User19559, http://db.uwaterloo.ca/~galuc/wsdbm/User14324, http://db.uwaterloo.ca/~galuc/wsdbm/User16127]"
6,"[http://db.uwaterloo.ca/~galuc/wsdbm/User15912, http://db.uwaterloo.ca/~galuc/wsdbm/User4212, http://db.uwaterloo.ca/~galuc/wsdbm/User13470, http://db.uwaterloo.ca/~galuc/wsdbm/User16324, http://db.uwaterloo.ca/~galuc/wsdbm/User10378, http://db.uwaterloo.ca/~galuc/wsdbm/User18169, http://db.uwaterloo.ca/~galuc/wsdbm/User19793, http://db.uwaterloo.ca/~galuc/wsdbm/User8071, http://db.uwaterloo.ca/~galuc/wsdbm/User2035, http://db.uwaterloo.ca/~galuc/wsdbm/User3544, http://db.uwaterloo.ca/~galuc/wsdbm/User13500, http://db.uwaterloo.ca/~galuc/wsdbm/User3130, http://db.uwaterloo.ca/~galuc/wsdbm/User14612, http://db.uwaterloo.ca/~galuc/wsdbm/User2549, http://db.uwaterloo.ca/~galuc/wsdbm/User7645, http://db.uwaterloo.ca/~galuc/wsdbm/User2097, http://db.uwaterloo.ca/~galuc/wsdbm/User18561, http://db.uwaterloo.ca/~galuc/wsdbm/User17776, http://db.uwaterloo.ca/~galuc/wsdbm/User2322, http://db.uwaterloo.ca/~galuc/wsdbm/User11373, http://db.uwaterloo.ca/~galuc/wsdbm/User8859, http://db.uwaterloo.ca/~galuc/wsdbm/User17329, http://db.uwaterloo.ca/~galuc/wsdbm/User18128]"
7,"[http://db.uwaterloo.ca/~galuc/wsdbm/User15435, http://db.uwaterloo.ca/~galuc/wsdbm/User6807, http://db.uwaterloo.ca/~galuc/wsdbm/User7408, http://db.uwaterloo.ca/~galuc/wsdbm/User19122, http://db.uwaterloo.ca/~galuc/wsdbm/User4503, http://db.uwaterloo.ca/~galuc/wsdbm/User18608, http://db.uwaterloo.ca/~galuc/wsdbm/User14464, http://db.uwaterloo.ca/~galuc/wsdbm/User18959, http://db.uwaterloo.ca/~galuc/wsdbm/User3077, http://db.uwaterloo.ca/~galuc/wsdbm/User15742, http://db.uwaterloo.ca/~galuc/wsdbm/User11306, http://db.uwaterloo.ca/~galuc/wsdbm/User8657, http://db.uwaterloo.ca/~galuc/wsdbm/User5289, http://db.uwaterloo.ca/~galuc/wsdbm/User151, http://db.uwaterloo.ca/~galuc/wsdbm/User5730, http://db.uwaterloo.ca/~galuc/wsdbm/User9947, http://db.uwaterloo.ca/~galuc/wsdbm/User7478, http://db.uwaterloo.ca/~galuc/wsdbm/User3638, http://db.uwaterloo.ca/~galuc/wsdbm/User10808, http://db.uwaterloo.ca/~galuc/wsdbm/User17477, http://db.uwaterloo.ca/~galuc/wsdbm/User5786, http://db.uwaterloo.ca/~galuc/wsdbm/User15563, http://db.uwaterloo.ca/~galuc/wsdbm/User19683, http://db.uwaterloo.ca/~galuc/wsdbm/User13497, http://db.uwaterloo.ca/~galuc/wsdbm/User11731, http://db.uwaterloo.ca/~galuc/wsdbm/User16505]"
8,"[http://db.uwaterloo.ca/~galuc/wsdbm/User2231, http://db.uwaterloo.ca/~galuc/wsdbm/User16938, http://db.uwaterloo.ca/~galuc/wsdbm/User9524, http://db.uwaterloo.ca/~galuc/wsdbm/User12698, http://db.uwaterloo.ca/~galuc/wsdbm/User3464, http://db.uwaterloo.ca/~galuc/wsdbm/User10747, http://db.uwaterloo.ca/~galuc/wsdbm/User8790, http://db.uwaterloo.ca/~galuc/wsdbm/User5865, http://db.uwaterloo.ca/~galuc/wsdbm/User16275, http://db.uwaterloo.ca/~galuc/wsdbm/User4346, http://db.uwaterloo.ca/~galuc/wsdbm/User11808, http://db.uwaterloo.ca/~galuc/wsdbm/User19056, http://db.uwaterloo.ca/~galuc/wsdbm/User17297, http://db.uwaterloo.ca/~galuc/wsdbm/User3823, http://db.uwaterloo.ca/~galuc/wsdbm/User19442, http://db.uwaterloo.ca/~galuc/wsdbm/User6179, http://db.uwaterloo.ca/~galuc/wsdbm/User17466, http://db.uwaterloo.ca/~galuc/wsdbm/User11301, http://db.uwaterloo.ca/~galuc/wsdbm/User12012, http://db.uwaterloo.ca/~galuc/wsdbm/User11082, http://db.uwaterloo.ca/~galuc/wsdbm/User19635, http://db.uwaterloo.ca/~galuc/wsdbm/User17800, http://db.uwaterloo.ca/~galuc/wsdbm/User15150, http://db.uwaterloo.ca/~galuc/wsdbm/User15090, http://db.uwaterloo.ca/~galuc/wsdbm/User10814, http://db.uwaterloo.ca/~galuc/wsdbm/User1169, http://db.uwaterloo.ca/~galuc/wsdbm/User13469, http://db.uwaterloo.ca/~galuc/wsdbm/User16962, http://db.uwaterloo.ca/~galuc/wsdbm/User11922, http://db.uwaterloo.ca/~galuc/wsdbm/User17591, http://db.uwaterloo.ca/~galuc/wsdbm/User19452, http://db.uwaterloo.ca/~galuc/wsdbm/User8266, http://db.uwaterloo.ca/~galuc/wsdbm/User2028, http://db.uwaterloo.ca/~galuc/wsdbm/User14503, http://db.uwaterloo.ca/~galuc/wsdbm/User7710, http://db.uwaterloo.ca/~galuc/wsdbm/User9928, http://db.uwaterloo.ca/~galuc/wsdbm/User2527, http://db.uwaterloo.ca/~galuc/wsdbm/User13455, http://db.uwaterloo.ca/~galuc/wsdbm/User6878, http://db.uwaterloo.ca/~galuc/wsdbm/User2575, http://db.uwaterloo.ca/~galuc/wsdbm/User9937]"
9,"[http://db.uwaterloo.ca/~galuc/wsdbm/User3881, http://db.uwaterloo.ca/~galuc/wsdbm/User11198, http://db.uwaterloo.ca/~galuc/wsdbm/User13692, http://db.uwaterloo.ca/~galuc/wsdbm/User9375, http://db.uwaterloo.ca/~galuc/wsdbm/User18918, http://db.uwaterloo.ca/~galuc/wsdbm/User199, http://db.uwaterloo.ca/~galuc/wsdbm/User10284, http://db.uwaterloo.ca/~galuc/wsdbm/User10242, http://db.uwaterloo.ca/~galuc/wsdbm/User17598, http://db.uwaterloo.ca/~galuc/wsdbm/User4774, http://db.uwaterloo.ca/~galuc/wsdbm/User18010, http://db.uwaterloo.ca/~galuc/wsdbm/User889, http://db.uwaterloo.ca/~galuc/wsdbm/User18813, http://db.uwaterloo.ca/~galuc/wsdbm/User13754, http://db.uwaterloo.ca/~galuc/wsdbm/User19301, http://db.uwaterloo.ca/~galuc/wsdbm/User18842, http://db.uwaterloo.ca/~galuc/wsdbm/User15173, http://db.uwaterloo.ca/~galuc/wsdbm/User15234, http://db.uwaterloo.ca/~galuc/wsdbm/User2204, http://db.uwaterloo.ca/~galuc/wsdbm/User10178, http://db.uwaterloo.ca/~galuc/wsdbm/User13835, http://db.uwaterloo.ca/~galuc/wsdbm/User17568, http://db.uwaterloo.ca/~galuc/wsdbm/User12646]"
10,"[http://db.uwaterloo.ca/~galuc/wsdbm/User6097, http://db.uwaterloo.ca/~galuc/wsdbm/User10150, http://db.uwaterloo.ca/~galuc/wsdbm/User3136, http://db.uwaterloo.ca/~galuc/wsdbm/User6022, http://db.uwaterloo.ca/~galuc/wsdbm/User11951, http://db.uwaterloo.ca/~galuc/wsdbm/User14432, http://db.uwaterloo.ca/~galuc/wsdbm/User11883, http://db.uwaterloo.ca/~galuc/wsdbm/User18009, http://db.uwaterloo.ca/~galuc/wsdbm/User3280, http://db.uwaterloo.ca/~galuc/wsdbm/User18823, http://db.uwaterloo.ca/~galuc/wsdbm/User5097, http://db.uwaterloo.ca/~galuc/wsdbm/User3135, http://db.uwaterloo.ca/~galuc/wsdbm/User16018, http://db.uwaterloo.ca/~galuc/wsdbm/User16323, http://db.uwaterloo.ca/~galuc/wsdbm/User14719, http://db.uwaterloo.ca/~galuc/wsdbm/User9497, http://db.uwaterloo.ca/~galuc/wsdbm/User13312, http://db.uwaterloo.ca/~galuc/wsdbm/User10043, http://db.uwaterloo.ca/~galuc/wsdbm/User3823, http://db.uwaterloo.ca/~galuc/wsdbm/User2074, http://db.uwaterloo.ca/~galuc/wsdbm/User2711, http://db.uwaterloo.ca/~galuc/wsdbm/User14669, http://db.uwaterloo.ca/~galuc/wsdbm/User18477, http://db.uwaterloo.ca/~galuc/wsdbm/User3085, http://db.uwaterloo.ca/~galuc/wsdbm/User16084, http://db.uwaterloo.ca/~galuc/wsdbm/User19554, http://db.uwaterloo.ca/~galuc/wsdbm/User16438, http://db.uwaterloo.ca/~galuc/wsdbm/User6391, http://db.uwaterloo.ca/~galuc/wsdbm/User12693, http://db.uwaterloo.ca/~galuc/wsdbm/User18999, http://db.uwaterloo.ca/~galuc/wsdbm/User9132, http://db.uwaterloo.ca/~galuc/wsdbm/User12930, http://db.uwaterloo.ca/~galuc/wsdbm/User7517, http://db.uwaterloo.ca/~galuc/wsdbm/User19822, http://db.uwaterloo.ca/~galuc/wsdbm/User11866, http://db.uwaterloo.ca/~galuc/wsdbm/User17869, http://db.uwaterloo.ca/~galuc/wsdbm/User15665]"
