Query,Result
1,[]
2,[http://db.uwaterloo.ca/~galuc/wsdbm/User11398]
3,"[http://db.uwaterloo.ca/~galuc/wsdbm/User19946, http://db.uwaterloo.ca/~galuc/wsdbm/User12580, http://db.uwaterloo.ca/~galuc/wsdbm/User6066, http://db.uwaterloo.ca/~galuc/wsdbm/User88, http://db.uwaterloo.ca/~galuc/wsdbm/User14664, http://db.uwaterloo.ca/~galuc/wsdbm/User14725, http://db.uwaterloo.ca/~galuc/wsdbm/User17660, http://db.uwaterloo.ca/~galuc/wsdbm/User8336, http://db.uwaterloo.ca/~galuc/wsdbm/User16440, http://db.uwaterloo.ca/~galuc/wsdbm/User7628, http://db.uwaterloo.ca/~galuc/wsdbm/User11058, http://db.uwaterloo.ca/~galuc/wsdbm/User9748, http://db.uwaterloo.ca/~galuc/wsdbm/User12803, http://db.uwaterloo.ca/~galuc/wsdbm/User2088, http://db.uwaterloo.ca/~galuc/wsdbm/User2355, http://db.uwaterloo.ca/~galuc/wsdbm/User15503, http://db.uwaterloo.ca/~galuc/wsdbm/User18753, http://db.uwaterloo.ca/~galuc/wsdbm/User18487, http://db.uwaterloo.ca/~galuc/wsdbm/User9541, http://db.uwaterloo.ca/~galuc/wsdbm/User7069, http://db.uwaterloo.ca/~galuc/wsdbm/User2280]"
4,[http://db.uwaterloo.ca/~galuc/wsdbm/User1697]
5,"[http://db.uwaterloo.ca/~galuc/wsdbm/User14988, http://db.uwaterloo.ca/~galuc/wsdbm/User16501, http://db.uwaterloo.ca/~galuc/wsdbm/User16587, http://db.uwaterloo.ca/~galuc/wsdbm/User19748, http://db.uwaterloo.ca/~galuc/wsdbm/User19416, http://db.uwaterloo.ca/~galuc/wsdbm/User12500, http://db.uwaterloo.ca/~galuc/wsdbm/User8465, http://db.uwaterloo.ca/~galuc/wsdbm/User13005, http://db.uwaterloo.ca/~galuc/wsdbm/User15768, http://db.uwaterloo.ca/~galuc/wsdbm/User15613]"
6,"[http://db.uwaterloo.ca/~galuc/wsdbm/User17890, http://db.uwaterloo.ca/~galuc/wsdbm/User17130, http://db.uwaterloo.ca/~galuc/wsdbm/User14290, http://db.uwaterloo.ca/~galuc/wsdbm/User13579, http://db.uwaterloo.ca/~galuc/wsdbm/User2197, http://db.uwaterloo.ca/~galuc/wsdbm/User1467, http://db.uwaterloo.ca/~galuc/wsdbm/User18756, http://db.uwaterloo.ca/~galuc/wsdbm/User4661, http://db.uwaterloo.ca/~galuc/wsdbm/User7459, http://db.uwaterloo.ca/~galuc/wsdbm/User7596, http://db.uwaterloo.ca/~galuc/wsdbm/User8911, http://db.uwaterloo.ca/~galuc/wsdbm/User8637]"
7,"[http://db.uwaterloo.ca/~galuc/wsdbm/User19682, http://db.uwaterloo.ca/~galuc/wsdbm/User19335, http://db.uwaterloo.ca/~galuc/wsdbm/User19632, http://db.uwaterloo.ca/~galuc/wsdbm/User19506]"
8,"[http://db.uwaterloo.ca/~galuc/wsdbm/User15323, http://db.uwaterloo.ca/~galuc/wsdbm/User8152, http://db.uwaterloo.ca/~galuc/wsdbm/User12695, http://db.uwaterloo.ca/~galuc/wsdbm/User19695, http://db.uwaterloo.ca/~galuc/wsdbm/User15161, http://db.uwaterloo.ca/~galuc/wsdbm/User6625, http://db.uwaterloo.ca/~galuc/wsdbm/User3409, http://db.uwaterloo.ca/~galuc/wsdbm/User16735, http://db.uwaterloo.ca/~galuc/wsdbm/User4167, http://db.uwaterloo.ca/~galuc/wsdbm/User10001, http://db.uwaterloo.ca/~galuc/wsdbm/User11593, http://db.uwaterloo.ca/~galuc/wsdbm/User10088, http://db.uwaterloo.ca/~galuc/wsdbm/User17353, http://db.uwaterloo.ca/~galuc/wsdbm/User7161, http://db.uwaterloo.ca/~galuc/wsdbm/User18176, http://db.uwaterloo.ca/~galuc/wsdbm/User10371, http://db.uwaterloo.ca/~galuc/wsdbm/User7942, http://db.uwaterloo.ca/~galuc/wsdbm/User13963, http://db.uwaterloo.ca/~galuc/wsdbm/User11186, http://db.uwaterloo.ca/~galuc/wsdbm/User3296, http://db.uwaterloo.ca/~galuc/wsdbm/User2946, http://db.uwaterloo.ca/~galuc/wsdbm/User18607, http://db.uwaterloo.ca/~galuc/wsdbm/User4134, http://db.uwaterloo.ca/~galuc/wsdbm/User15148]"
9,"[http://db.uwaterloo.ca/~galuc/wsdbm/User12967, http://db.uwaterloo.ca/~galuc/wsdbm/User11968, http://db.uwaterloo.ca/~galuc/wsdbm/User12511, http://db.uwaterloo.ca/~galuc/wsdbm/User14350, http://db.uwaterloo.ca/~galuc/wsdbm/User11584, http://db.uwaterloo.ca/~galuc/wsdbm/User10255, http://db.uwaterloo.ca/~galuc/wsdbm/User16907, http://db.uwaterloo.ca/~galuc/wsdbm/User16628, http://db.uwaterloo.ca/~galuc/wsdbm/User15082, http://db.uwaterloo.ca/~galuc/wsdbm/User15290, http://db.uwaterloo.ca/~galuc/wsdbm/User2805, http://db.uwaterloo.ca/~galuc/wsdbm/User4880, http://db.uwaterloo.ca/~galuc/wsdbm/User13151, http://db.uwaterloo.ca/~galuc/wsdbm/User5196]"
10,[http://db.uwaterloo.ca/~galuc/wsdbm/User18348]
