Query,Result
1,[http://db.uwaterloo.ca/~galuc/wsdbm/User17083]
2,"[http://db.uwaterloo.ca/~galuc/wsdbm/User830, http://db.uwaterloo.ca/~galuc/wsdbm/User17616, http://db.uwaterloo.ca/~galuc/wsdbm/User17545, http://db.uwaterloo.ca/~galuc/wsdbm/User7553, http://db.uwaterloo.ca/~galuc/wsdbm/User17053, http://db.uwaterloo.ca/~galuc/wsdbm/User19574, http://db.uwaterloo.ca/~galuc/wsdbm/User8421, http://db.uwaterloo.ca/~galuc/wsdbm/User11131, http://db.uwaterloo.ca/~galuc/wsdbm/User7932, http://db.uwaterloo.ca/~galuc/wsdbm/User10325, http://db.uwaterloo.ca/~galuc/wsdbm/User17823, http://db.uwaterloo.ca/~galuc/wsdbm/User11883, http://db.uwaterloo.ca/~galuc/wsdbm/User4179, http://db.uwaterloo.ca/~galuc/wsdbm/User2576, http://db.uwaterloo.ca/~galuc/wsdbm/User4075, http://db.uwaterloo.ca/~galuc/wsdbm/User1455, http://db.uwaterloo.ca/~galuc/wsdbm/User5705, http://db.uwaterloo.ca/~galuc/wsdbm/User15124, http://db.uwaterloo.ca/~galuc/wsdbm/User6404, http://db.uwaterloo.ca/~galuc/wsdbm/User10255, http://db.uwaterloo.ca/~galuc/wsdbm/User15220, http://db.uwaterloo.ca/~galuc/wsdbm/User18247, http://db.uwaterloo.ca/~galuc/wsdbm/User12671, http://db.uwaterloo.ca/~galuc/wsdbm/User4942, http://db.uwaterloo.ca/~galuc/wsdbm/User805, http://db.uwaterloo.ca/~galuc/wsdbm/User2920, http://db.uwaterloo.ca/~galuc/wsdbm/User2310, http://db.uwaterloo.ca/~galuc/wsdbm/User17628, http://db.uwaterloo.ca/~galuc/wsdbm/User3915, http://db.uwaterloo.ca/~galuc/wsdbm/User19820, http://db.uwaterloo.ca/~galuc/wsdbm/User12835, http://db.uwaterloo.ca/~galuc/wsdbm/User4504, http://db.uwaterloo.ca/~galuc/wsdbm/User14692, http://db.uwaterloo.ca/~galuc/wsdbm/User10828, http://db.uwaterloo.ca/~galuc/wsdbm/User18989, http://db.uwaterloo.ca/~galuc/wsdbm/User14351, http://db.uwaterloo.ca/~galuc/wsdbm/User13024, http://db.uwaterloo.ca/~galuc/wsdbm/User18784, http://db.uwaterloo.ca/~galuc/wsdbm/User12912, http://db.uwaterloo.ca/~galuc/wsdbm/User17889, http://db.uwaterloo.ca/~galuc/wsdbm/User2191, http://db.uwaterloo.ca/~galuc/wsdbm/User3785, http://db.uwaterloo.ca/~galuc/wsdbm/User18371, http://db.uwaterloo.ca/~galuc/wsdbm/User10793, http://db.uwaterloo.ca/~galuc/wsdbm/User5533, http://db.uwaterloo.ca/~galuc/wsdbm/User9019, http://db.uwaterloo.ca/~galuc/wsdbm/User14953, http://db.uwaterloo.ca/~galuc/wsdbm/User15767, http://db.uwaterloo.ca/~galuc/wsdbm/User1766, http://db.uwaterloo.ca/~galuc/wsdbm/User13329, http://db.uwaterloo.ca/~galuc/wsdbm/User8092, http://db.uwaterloo.ca/~galuc/wsdbm/User2157, http://db.uwaterloo.ca/~galuc/wsdbm/User7774, http://db.uwaterloo.ca/~galuc/wsdbm/User18657, http://db.uwaterloo.ca/~galuc/wsdbm/User13319, http://db.uwaterloo.ca/~galuc/wsdbm/User2507, http://db.uwaterloo.ca/~galuc/wsdbm/User3047, http://db.uwaterloo.ca/~galuc/wsdbm/User6359, http://db.uwaterloo.ca/~galuc/wsdbm/User829, http://db.uwaterloo.ca/~galuc/wsdbm/User12475, http://db.uwaterloo.ca/~galuc/wsdbm/User1962, http://db.uwaterloo.ca/~galuc/wsdbm/User18406, http://db.uwaterloo.ca/~galuc/wsdbm/User883, http://db.uwaterloo.ca/~galuc/wsdbm/User5216, http://db.uwaterloo.ca/~galuc/wsdbm/User7375, http://db.uwaterloo.ca/~galuc/wsdbm/User11812, http://db.uwaterloo.ca/~galuc/wsdbm/User15557, http://db.uwaterloo.ca/~galuc/wsdbm/User15262, http://db.uwaterloo.ca/~galuc/wsdbm/User14931, http://db.uwaterloo.ca/~galuc/wsdbm/User16860, http://db.uwaterloo.ca/~galuc/wsdbm/User3565, http://db.uwaterloo.ca/~galuc/wsdbm/User5748, http://db.uwaterloo.ca/~galuc/wsdbm/User2115, http://db.uwaterloo.ca/~galuc/wsdbm/User10992, http://db.uwaterloo.ca/~galuc/wsdbm/User12737, http://db.uwaterloo.ca/~galuc/wsdbm/User7894, http://db.uwaterloo.ca/~galuc/wsdbm/User5861, http://db.uwaterloo.ca/~galuc/wsdbm/User15856, http://db.uwaterloo.ca/~galuc/wsdbm/User16455, http://db.uwaterloo.ca/~galuc/wsdbm/User18467, http://db.uwaterloo.ca/~galuc/wsdbm/User16759, http://db.uwaterloo.ca/~galuc/wsdbm/User16842, http://db.uwaterloo.ca/~galuc/wsdbm/User9453, http://db.uwaterloo.ca/~galuc/wsdbm/User19316, http://db.uwaterloo.ca/~galuc/wsdbm/User10994, http://db.uwaterloo.ca/~galuc/wsdbm/User2277, http://db.uwaterloo.ca/~galuc/wsdbm/User6879, http://db.uwaterloo.ca/~galuc/wsdbm/User18302, http://db.uwaterloo.ca/~galuc/wsdbm/User9503, http://db.uwaterloo.ca/~galuc/wsdbm/User14087, http://db.uwaterloo.ca/~galuc/wsdbm/User9390, http://db.uwaterloo.ca/~galuc/wsdbm/User14065, http://db.uwaterloo.ca/~galuc/wsdbm/User3981, http://db.uwaterloo.ca/~galuc/wsdbm/User5706, http://db.uwaterloo.ca/~galuc/wsdbm/User3847]"
3,[http://db.uwaterloo.ca/~galuc/wsdbm/User13059]
4,"[http://db.uwaterloo.ca/~galuc/wsdbm/User3136, http://db.uwaterloo.ca/~galuc/wsdbm/User15653, http://db.uwaterloo.ca/~galuc/wsdbm/User17929, http://db.uwaterloo.ca/~galuc/wsdbm/User18020, http://db.uwaterloo.ca/~galuc/wsdbm/User6617, http://db.uwaterloo.ca/~galuc/wsdbm/User15753, http://db.uwaterloo.ca/~galuc/wsdbm/User6427, http://db.uwaterloo.ca/~galuc/wsdbm/User14230, http://db.uwaterloo.ca/~galuc/wsdbm/User7791, http://db.uwaterloo.ca/~galuc/wsdbm/User18068, http://db.uwaterloo.ca/~galuc/wsdbm/User8657, http://db.uwaterloo.ca/~galuc/wsdbm/User10925, http://db.uwaterloo.ca/~galuc/wsdbm/User18541, http://db.uwaterloo.ca/~galuc/wsdbm/User14696, http://db.uwaterloo.ca/~galuc/wsdbm/User8578, http://db.uwaterloo.ca/~galuc/wsdbm/User14033, http://db.uwaterloo.ca/~galuc/wsdbm/User11758, http://db.uwaterloo.ca/~galuc/wsdbm/User8822, http://db.uwaterloo.ca/~galuc/wsdbm/User5818, http://db.uwaterloo.ca/~galuc/wsdbm/User17699, http://db.uwaterloo.ca/~galuc/wsdbm/User18446, http://db.uwaterloo.ca/~galuc/wsdbm/User9903, http://db.uwaterloo.ca/~galuc/wsdbm/User1130, http://db.uwaterloo.ca/~galuc/wsdbm/User15437, http://db.uwaterloo.ca/~galuc/wsdbm/User5452, http://db.uwaterloo.ca/~galuc/wsdbm/User19685, http://db.uwaterloo.ca/~galuc/wsdbm/User15281, http://db.uwaterloo.ca/~galuc/wsdbm/User5530, http://db.uwaterloo.ca/~galuc/wsdbm/User12018, http://db.uwaterloo.ca/~galuc/wsdbm/User8798, http://db.uwaterloo.ca/~galuc/wsdbm/User14918, http://db.uwaterloo.ca/~galuc/wsdbm/User11333, http://db.uwaterloo.ca/~galuc/wsdbm/User8207, http://db.uwaterloo.ca/~galuc/wsdbm/User3499]"
5,[]
6,[]
7,"[http://db.uwaterloo.ca/~galuc/wsdbm/User13753, http://db.uwaterloo.ca/~galuc/wsdbm/User16152]"
8,"[http://db.uwaterloo.ca/~galuc/wsdbm/User17061, http://db.uwaterloo.ca/~galuc/wsdbm/User1001, http://db.uwaterloo.ca/~galuc/wsdbm/User9531, http://db.uwaterloo.ca/~galuc/wsdbm/User18831, http://db.uwaterloo.ca/~galuc/wsdbm/User9630, http://db.uwaterloo.ca/~galuc/wsdbm/User18783, http://db.uwaterloo.ca/~galuc/wsdbm/User226, http://db.uwaterloo.ca/~galuc/wsdbm/User9866, http://db.uwaterloo.ca/~galuc/wsdbm/User4014, http://db.uwaterloo.ca/~galuc/wsdbm/User17782, http://db.uwaterloo.ca/~galuc/wsdbm/User18081, http://db.uwaterloo.ca/~galuc/wsdbm/User3031, http://db.uwaterloo.ca/~galuc/wsdbm/User1122, http://db.uwaterloo.ca/~galuc/wsdbm/User11131, http://db.uwaterloo.ca/~galuc/wsdbm/User14144, http://db.uwaterloo.ca/~galuc/wsdbm/User547, http://db.uwaterloo.ca/~galuc/wsdbm/User10325, http://db.uwaterloo.ca/~galuc/wsdbm/User8121, http://db.uwaterloo.ca/~galuc/wsdbm/User17823, http://db.uwaterloo.ca/~galuc/wsdbm/User3109, http://db.uwaterloo.ca/~galuc/wsdbm/User9043, http://db.uwaterloo.ca/~galuc/wsdbm/User7292, http://db.uwaterloo.ca/~galuc/wsdbm/User10081, http://db.uwaterloo.ca/~galuc/wsdbm/User13448, http://db.uwaterloo.ca/~galuc/wsdbm/User1661, http://db.uwaterloo.ca/~galuc/wsdbm/User17326, http://db.uwaterloo.ca/~galuc/wsdbm/User11410, http://db.uwaterloo.ca/~galuc/wsdbm/User9086, http://db.uwaterloo.ca/~galuc/wsdbm/User17562, http://db.uwaterloo.ca/~galuc/wsdbm/User6404, http://db.uwaterloo.ca/~galuc/wsdbm/User17128, http://db.uwaterloo.ca/~galuc/wsdbm/User5021, http://db.uwaterloo.ca/~galuc/wsdbm/User13063, http://db.uwaterloo.ca/~galuc/wsdbm/User11471, http://db.uwaterloo.ca/~galuc/wsdbm/User13162, http://db.uwaterloo.ca/~galuc/wsdbm/User18603, http://db.uwaterloo.ca/~galuc/wsdbm/User8188, http://db.uwaterloo.ca/~galuc/wsdbm/User3033, http://db.uwaterloo.ca/~galuc/wsdbm/User12374, http://db.uwaterloo.ca/~galuc/wsdbm/User12671, http://db.uwaterloo.ca/~galuc/wsdbm/User2219, http://db.uwaterloo.ca/~galuc/wsdbm/User2310, http://db.uwaterloo.ca/~galuc/wsdbm/User14599, http://db.uwaterloo.ca/~galuc/wsdbm/User18665, http://db.uwaterloo.ca/~galuc/wsdbm/User19573, http://db.uwaterloo.ca/~galuc/wsdbm/User8443, http://db.uwaterloo.ca/~galuc/wsdbm/User1929, http://db.uwaterloo.ca/~galuc/wsdbm/User638, http://db.uwaterloo.ca/~galuc/wsdbm/User19902, http://db.uwaterloo.ca/~galuc/wsdbm/User19820, http://db.uwaterloo.ca/~galuc/wsdbm/User9429, http://db.uwaterloo.ca/~galuc/wsdbm/User6220, http://db.uwaterloo.ca/~galuc/wsdbm/User35, http://db.uwaterloo.ca/~galuc/wsdbm/User10186, http://db.uwaterloo.ca/~galuc/wsdbm/User473, http://db.uwaterloo.ca/~galuc/wsdbm/User6039, http://db.uwaterloo.ca/~galuc/wsdbm/User2544, http://db.uwaterloo.ca/~galuc/wsdbm/User18883, http://db.uwaterloo.ca/~galuc/wsdbm/User8305, http://db.uwaterloo.ca/~galuc/wsdbm/User16190, http://db.uwaterloo.ca/~galuc/wsdbm/User15212, http://db.uwaterloo.ca/~galuc/wsdbm/User15580, http://db.uwaterloo.ca/~galuc/wsdbm/User16540, http://db.uwaterloo.ca/~galuc/wsdbm/User9554, http://db.uwaterloo.ca/~galuc/wsdbm/User13240, http://db.uwaterloo.ca/~galuc/wsdbm/User7266, http://db.uwaterloo.ca/~galuc/wsdbm/User17777, http://db.uwaterloo.ca/~galuc/wsdbm/User1054, http://db.uwaterloo.ca/~galuc/wsdbm/User19162, http://db.uwaterloo.ca/~galuc/wsdbm/User12154, http://db.uwaterloo.ca/~galuc/wsdbm/User7244, http://db.uwaterloo.ca/~galuc/wsdbm/User19016, http://db.uwaterloo.ca/~galuc/wsdbm/User10355, http://db.uwaterloo.ca/~galuc/wsdbm/User10847, http://db.uwaterloo.ca/~galuc/wsdbm/User6032, http://db.uwaterloo.ca/~galuc/wsdbm/User16749, http://db.uwaterloo.ca/~galuc/wsdbm/User16121, http://db.uwaterloo.ca/~galuc/wsdbm/User18784, http://db.uwaterloo.ca/~galuc/wsdbm/User5999, http://db.uwaterloo.ca/~galuc/wsdbm/User15392, http://db.uwaterloo.ca/~galuc/wsdbm/User5298, http://db.uwaterloo.ca/~galuc/wsdbm/User6941, http://db.uwaterloo.ca/~galuc/wsdbm/User15767, http://db.uwaterloo.ca/~galuc/wsdbm/User13083, http://db.uwaterloo.ca/~galuc/wsdbm/User19921, http://db.uwaterloo.ca/~galuc/wsdbm/User3488, http://db.uwaterloo.ca/~galuc/wsdbm/User18312, http://db.uwaterloo.ca/~galuc/wsdbm/User7774, http://db.uwaterloo.ca/~galuc/wsdbm/User1139, http://db.uwaterloo.ca/~galuc/wsdbm/User2397, http://db.uwaterloo.ca/~galuc/wsdbm/User8982, http://db.uwaterloo.ca/~galuc/wsdbm/User4943, http://db.uwaterloo.ca/~galuc/wsdbm/User883, http://db.uwaterloo.ca/~galuc/wsdbm/User15843, http://db.uwaterloo.ca/~galuc/wsdbm/User15010, http://db.uwaterloo.ca/~galuc/wsdbm/User18106, http://db.uwaterloo.ca/~galuc/wsdbm/User2712, http://db.uwaterloo.ca/~galuc/wsdbm/User4530, http://db.uwaterloo.ca/~galuc/wsdbm/User4614, http://db.uwaterloo.ca/~galuc/wsdbm/User7375, http://db.uwaterloo.ca/~galuc/wsdbm/User11155, http://db.uwaterloo.ca/~galuc/wsdbm/User14770, http://db.uwaterloo.ca/~galuc/wsdbm/User3951, http://db.uwaterloo.ca/~galuc/wsdbm/User12764, http://db.uwaterloo.ca/~galuc/wsdbm/User5253, http://db.uwaterloo.ca/~galuc/wsdbm/User1943, http://db.uwaterloo.ca/~galuc/wsdbm/User10992, http://db.uwaterloo.ca/~galuc/wsdbm/User3918, http://db.uwaterloo.ca/~galuc/wsdbm/User18713, http://db.uwaterloo.ca/~galuc/wsdbm/User5917, http://db.uwaterloo.ca/~galuc/wsdbm/User15201, http://db.uwaterloo.ca/~galuc/wsdbm/User401, http://db.uwaterloo.ca/~galuc/wsdbm/User13757, http://db.uwaterloo.ca/~galuc/wsdbm/User12943, http://db.uwaterloo.ca/~galuc/wsdbm/User10462, http://db.uwaterloo.ca/~galuc/wsdbm/User2519, http://db.uwaterloo.ca/~galuc/wsdbm/User7894, http://db.uwaterloo.ca/~galuc/wsdbm/User457, http://db.uwaterloo.ca/~galuc/wsdbm/User18066, http://db.uwaterloo.ca/~galuc/wsdbm/User6900, http://db.uwaterloo.ca/~galuc/wsdbm/User5701, http://db.uwaterloo.ca/~galuc/wsdbm/User12937, http://db.uwaterloo.ca/~galuc/wsdbm/User8479, http://db.uwaterloo.ca/~galuc/wsdbm/User491, http://db.uwaterloo.ca/~galuc/wsdbm/User4910, http://db.uwaterloo.ca/~galuc/wsdbm/User4227, http://db.uwaterloo.ca/~galuc/wsdbm/User9453, http://db.uwaterloo.ca/~galuc/wsdbm/User17704, http://db.uwaterloo.ca/~galuc/wsdbm/User17937, http://db.uwaterloo.ca/~galuc/wsdbm/User19316, http://db.uwaterloo.ca/~galuc/wsdbm/User13797, http://db.uwaterloo.ca/~galuc/wsdbm/User6686, http://db.uwaterloo.ca/~galuc/wsdbm/User12828, http://db.uwaterloo.ca/~galuc/wsdbm/User2277, http://db.uwaterloo.ca/~galuc/wsdbm/User17581, http://db.uwaterloo.ca/~galuc/wsdbm/User16217, http://db.uwaterloo.ca/~galuc/wsdbm/User7795, http://db.uwaterloo.ca/~galuc/wsdbm/User1273, http://db.uwaterloo.ca/~galuc/wsdbm/User11488, http://db.uwaterloo.ca/~galuc/wsdbm/User12940, http://db.uwaterloo.ca/~galuc/wsdbm/User15263, http://db.uwaterloo.ca/~galuc/wsdbm/User3934, http://db.uwaterloo.ca/~galuc/wsdbm/User10965, http://db.uwaterloo.ca/~galuc/wsdbm/User9263, http://db.uwaterloo.ca/~galuc/wsdbm/User19535, http://db.uwaterloo.ca/~galuc/wsdbm/User14087, http://db.uwaterloo.ca/~galuc/wsdbm/User17675, http://db.uwaterloo.ca/~galuc/wsdbm/User14374, http://db.uwaterloo.ca/~galuc/wsdbm/User14065, http://db.uwaterloo.ca/~galuc/wsdbm/User7092, http://db.uwaterloo.ca/~galuc/wsdbm/User19495, http://db.uwaterloo.ca/~galuc/wsdbm/User5419, http://db.uwaterloo.ca/~galuc/wsdbm/User8301, http://db.uwaterloo.ca/~galuc/wsdbm/User10086, http://db.uwaterloo.ca/~galuc/wsdbm/User5943]"
9,"[http://db.uwaterloo.ca/~galuc/wsdbm/User15908, http://db.uwaterloo.ca/~galuc/wsdbm/User13903, http://db.uwaterloo.ca/~galuc/wsdbm/User14893, http://db.uwaterloo.ca/~galuc/wsdbm/User19387]"
10,"[http://db.uwaterloo.ca/~galuc/wsdbm/User19122, http://db.uwaterloo.ca/~galuc/wsdbm/User1286, http://db.uwaterloo.ca/~galuc/wsdbm/User973, http://db.uwaterloo.ca/~galuc/wsdbm/User19789, http://db.uwaterloo.ca/~galuc/wsdbm/User3802, http://db.uwaterloo.ca/~galuc/wsdbm/User15588, http://db.uwaterloo.ca/~galuc/wsdbm/User14797, http://db.uwaterloo.ca/~galuc/wsdbm/User18236, http://db.uwaterloo.ca/~galuc/wsdbm/User2986, http://db.uwaterloo.ca/~galuc/wsdbm/User19925]"
